state,year,milk_produced
Maine,1976,628000000
New Hampshire,1976,335000000
Vermont,1976,2093000000
Massachusetts,1976,598000000
Rhode Island,1976,60000000
Connecticut,1976,616000000
New York,1976,10198000000
New Jersey,1976,545000000
Pennsylvania,1976,7507000000
Delaware,1976,135000000
Maryland,1976,1549000000
Michigan,1976,4620000000
Wisconsin,1976,20296000000
Minnesota,1976,9239000000
Ohio,1976,4435000000
Indiana,1976,2240000000
Illinois,1976,2485000000
Iowa,1976,3954000000
Missouri,1976,2919000000
North Dakota,1976,948000000
South Dakota,1976,1650000000
Nebraska,1976,1409000000
Kansas,1976,1447000000
Virginia,1976,1877000000
West Virginia,1976,356000000
North Carolina,1976,1580000000
Kentucky,1976,2383000000
Tennessee,1976,2096000000
South Carolina,1976,525000000
Georgia,1976,1303000000
Florida,1976,2023000000
Alabama,1976,682000000
Mississippi,1976,862000000
Arkansas,1976,710000000
Louisiana,1976,1088000000
Oklahoma,1976,1102000000
Texas,1976,3309000000
Montana,1976,275000000
Idaho,1976,1554000000
Wyoming,1976,113000000
Colorado,1976,835000000
New Mexico,1976,405000000
Arizona,1976,882000000
Utah,1976,924000000
Nevada,1976,191000000
Washington,1976,2428000000
Oregon,1976,1024000000
California,1976,11583000000
Alaska,1976,16000000
Hawaii,1976,148000000
Maine,1977,638000000
New Hampshire,1977,339000000
Vermont,1977,2100000000
Massachusetts,1977,597000000
Rhode Island,1977,57000000
Connecticut,1977,624000000
New York,1977,10224000000
New Jersey,1977,549000000
Pennsylvania,1977,7791000000
Delaware,1977,139000000
Maryland,1977,1575000000
Michigan,1977,4761000000
Wisconsin,1977,21041000000
Minnesota,1977,9483000000
Ohio,1977,4455000000
Indiana,1977,2248000000
Illinois,1977,2515000000
Iowa,1977,4030000000
Missouri,1977,2918000000
North Dakota,1977,954000000
South Dakota,1977,1652000000
Nebraska,1977,1344000000
Kansas,1977,1442000000
Virginia,1977,1894000000
West Virginia,1977,350000000
North Carolina,1977,1583000000
Kentucky,1977,2426000000
Tennessee,1977,2181000000
South Carolina,1977,525000000
Georgia,1977,1301000000
Florida,1977,1993000000
Alabama,1977,684000000
Mississippi,1977,858000000
Arkansas,1977,725000000
Louisiana,1977,1089000000
Oklahoma,1977,1120000000
Texas,1977,3372000000
Montana,1977,296000000
Idaho,1977,1600000000
Wyoming,1977,124000000
Colorado,1977,848000000
New Mexico,1977,426000000
Arizona,1977,914000000
Utah,1977,936000000
Nevada,1977,198000000
Washington,1977,2549000000
Oregon,1977,1052000000
California,1977,11968000000
Alaska,1977,16000000
Hawaii,1977,150000000
Maine,1978,641000000
New Hampshire,1978,341000000
Vermont,1978,2136000000
Massachusetts,1978,572000000
Rhode Island,1978,55000000
Connecticut,1978,614000000
New York,1978,10408000000
New Jersey,1978,525000000
Pennsylvania,1978,7881000000
Delaware,1978,129000000
Maryland,1978,1540000000
Michigan,1978,4793000000
Wisconsin,1978,21252000000
Minnesota,1978,9089000000
Ohio,1978,4275000000
Indiana,1978,2178000000
Illinois,1978,2399000000
Iowa,1978,3960000000
Missouri,1978,2719000000
North Dakota,1978,903000000
South Dakota,1978,1540000000
Nebraska,1978,1269000000
Kansas,1978,1372000000
Virginia,1978,1873000000
West Virginia,1978,345000000
North Carolina,1978,1544000000
Kentucky,1978,2274000000
Tennessee,1978,2073000000
South Carolina,1978,513000000
Georgia,1978,1308000000
Florida,1978,1972000000
Alabama,1978,631000000
Mississippi,1978,836000000
Arkansas,1978,729000000
Louisiana,1978,1063000000
Oklahoma,1978,1090000000
Texas,1978,3433000000
Montana,1978,306000000
Idaho,1978,1633000000
Wyoming,1978,120000000
Colorado,1978,872000000
New Mexico,1978,458000000
Arizona,1978,906000000
Utah,1978,940000000
Nevada,1978,187000000
Washington,1978,2675000000
Oregon,1978,1065000000
California,1978,11859000000
Alaska,1978,15000000
Hawaii,1978,150000000
Maine,1979,641000000
New Hampshire,1979,341000000
Vermont,1979,2179000000
Massachusetts,1979,566000000
Rhode Island,1979,50000000
Connecticut,1979,606000000
New York,1979,10630000000
New Jersey,1979,494000000
Pennsylvania,1979,8084000000
Delaware,1979,127000000
Maryland,1979,1520000000
Michigan,1979,4830000000
Wisconsin,1979,21850000000
Minnesota,1979,9145000000
Ohio,1979,4265000000
Indiana,1979,2175000000
Illinois,1979,2391000000
Iowa,1979,3858000000
Missouri,1979,2714000000
North Dakota,1979,874000000
South Dakota,1979,1549000000
Nebraska,1979,1260000000
Kansas,1979,1330000000
Virginia,1979,1937000000
West Virginia,1979,350000000
North Carolina,1979,1565000000
Kentucky,1979,2220000000
Tennessee,1979,2091000000
South Carolina,1979,524000000
Georgia,1979,1338000000
Florida,1979,1996000000
Alabama,1979,606000000
Mississippi,1979,814000000
Arkansas,1979,727000000
Louisiana,1979,1022000000
Oklahoma,1979,1070000000
Texas,1979,3377000000
Montana,1979,297000000
Idaho,1979,1721000000
Wyoming,1979,119000000
Colorado,1979,857000000
New Mexico,1979,507000000
Arizona,1979,941000000
Utah,1979,948000000
Nevada,1979,199000000
Washington,1979,2817000000
Oregon,1979,1103000000
California,1979,12563000000
Alaska,1979,13000000
Hawaii,1979,150000000
Maine,1980,665000000
New Hampshire,1980,347000000
Vermont,1980,2289000000
Massachusetts,1980,570000000
Rhode Island,1980,47000000
Connecticut,1980,612000000
New York,1980,10974000000
New Jersey,1980,494000000
Pennsylvania,1980,8496000000
Delaware,1980,125000000
Maryland,1980,1520000000
Michigan,1980,4970000000
Wisconsin,1980,22380000000
Minnesota,1980,9535000000
Ohio,1980,4310000000
Indiana,1980,2210000000
Illinois,1980,2540000000
Iowa,1980,3994000000
Missouri,1980,2826000000
North Dakota,1980,939000000
South Dakota,1980,1669000000
Nebraska,1980,1315000000
Kansas,1980,1330000000
Virginia,1980,1974000000
West Virginia,1980,350000000
North Carolina,1980,1631000000
Kentucky,1980,2219000000
Tennessee,1980,2241000000
South Carolina,1980,541000000
Georgia,1980,1367000000
Florida,1980,2028000000
Alabama,1980,610000000
Mississippi,1980,817000000
Arkansas,1980,740000000
Louisiana,1980,1012000000
Oklahoma,1980,1110000000
Texas,1980,3625000000
Montana,1980,314000000
Idaho,1980,1947000000
Wyoming,1980,132000000
Colorado,1980,858000000
New Mexico,1980,602000000
Arizona,1980,1031000000
Utah,1980,1028000000
Nevada,1980,219000000
Washington,1980,2942000000
Oregon,1980,1169000000
California,1980,13577000000
Alaska,1980,13000000
Hawaii,1980,152000000
Maine,1981,698000000
New Hampshire,1981,346000000
Vermont,1981,2298000000
Massachusetts,1981,578000000
Rhode Island,1981,46000000
Connecticut,1981,624000000
New York,1981,11069000000
New Jersey,1981,494000000
Pennsylvania,1981,8965000000
Delaware,1981,124000000
Maryland,1981,1556000000
Michigan,1981,5103000000
Wisconsin,1981,23000000000
Minnesota,1981,10061000000
Ohio,1981,4385000000
Indiana,1981,2282000000
Illinois,1981,2604000000
Iowa,1981,4056000000
Missouri,1981,2877000000
North Dakota,1981,995000000
South Dakota,1981,1757000000
Nebraska,1981,1400000000
Kansas,1981,1397000000
Virginia,1981,2015000000
West Virginia,1981,350000000
North Carolina,1981,1654000000
Kentucky,1981,2281000000
Tennessee,1981,2300000000
South Carolina,1981,552000000
Georgia,1981,1396000000
Florida,1981,2082000000
Alabama,1981,620000000
Mississippi,1981,860000000
Arkansas,1981,792000000
Louisiana,1981,996000000
Oklahoma,1981,1150000000
Texas,1981,3665000000
Montana,1981,331000000
Idaho,1981,2162000000
Wyoming,1981,136000000
Colorado,1981,928000000
New Mexico,1981,671000000
Arizona,1981,1133000000
Utah,1981,1110000000
Nevada,1981,223000000
Washington,1981,3017000000
Oregon,1981,1220000000
California,1981,14248000000
Alaska,1981,13000000
Hawaii,1981,150000000
Maine,1982,727000000
New Hampshire,1982,365000000
Vermont,1982,2385000000
Massachusetts,1982,602000000
Rhode Island,1982,46000000
Connecticut,1982,644000000
New York,1982,11097000000
New Jersey,1982,492000000
Pennsylvania,1982,9264000000
Delaware,1982,137000000
Maryland,1982,1581000000
Michigan,1982,5253000000
Wisconsin,1982,23230000000
Minnesota,1982,10341000000
Ohio,1982,4550000000
Indiana,1982,2334000000
Illinois,1982,2657000000
Iowa,1982,4004000000
Missouri,1982,2905000000
North Dakota,1982,1020000000
South Dakota,1982,1762000000
Nebraska,1982,1340000000
Kansas,1982,1356000000
Virginia,1982,2059000000
West Virginia,1982,349000000
North Carolina,1982,1686000000
Kentucky,1982,2364000000
Tennessee,1982,2326000000
South Carolina,1982,567000000
Georgia,1982,1412000000
Florida,1982,2109000000
Alabama,1982,580000000
Mississippi,1982,900000000
Arkansas,1982,828000000
Louisiana,1982,975000000
Oklahoma,1982,1165000000
Texas,1982,3780000000
Montana,1982,341000000
Idaho,1982,2253000000
Wyoming,1982,137000000
Colorado,1982,972000000
New Mexico,1982,812000000
Arizona,1982,1202000000
Utah,1982,1162000000
Nevada,1982,225000000
Washington,1982,3222000000
Oregon,1982,1301000000
California,1982,14528000000
Alaska,1982,14000000
Hawaii,1982,144000000
Maine,1983,736000000
New Hampshire,1983,379000000
Vermont,1983,2490000000
Massachusetts,1983,613000000
Rhode Island,1983,45000000
Connecticut,1983,655000000
New York,1983,11648000000
New Jersey,1983,500000000
Pennsylvania,1983,9510000000
Delaware,1983,137000000
Maryland,1983,1606000000
Michigan,1983,5528000000
Wisconsin,1983,23800000000
Minnesota,1983,10913000000
Ohio,1983,4755000000
Indiana,1983,2364000000
Illinois,1983,2706000000
Iowa,1983,4036000000
Missouri,1983,3100000000
North Dakota,1983,1090000000
South Dakota,1983,1771000000
Nebraska,1983,1415000000
Kansas,1983,1382000000
Virginia,1983,2070000000
West Virginia,1983,365000000
North Carolina,1983,1711000000
Kentucky,1983,2414000000
Tennessee,1983,2250000000
South Carolina,1983,573000000
Georgia,1983,1395000000
Florida,1983,2113000000
Alabama,1983,573000000
Mississippi,1983,883000000
Arkansas,1983,845000000
Louisiana,1983,954000000
Oklahoma,1983,1183000000
Texas,1983,3985000000
Montana,1983,355000000
Idaho,1983,2303000000
Wyoming,1983,136000000
Colorado,1983,987000000
New Mexico,1983,938000000
Arizona,1983,1237000000
Utah,1983,1171000000
Nevada,1983,227000000
Washington,1983,3482000000
Oregon,1983,1363000000
California,1983,14733000000
Alaska,1983,14000000
Hawaii,1983,149000000
Maine,1984,694000000
New Hampshire,1984,361000000
Vermont,1984,2311000000
Massachusetts,1984,573000000
Rhode Island,1984,44000000
Connecticut,1984,611000000
New York,1984,11443000000
New Jersey,1984,474000000
Pennsylvania,1984,9423000000
Delaware,1984,132000000
Maryland,1984,1530000000
Michigan,1984,5350000000
Wisconsin,1984,23501000000
Minnesota,1984,10331000000
Ohio,1984,4650000000
Indiana,1984,2279000000
Illinois,1984,2560000000
Iowa,1984,3805000000
Missouri,1984,2754000000
North Dakota,1984,1055000000
South Dakota,1984,1622000000
Nebraska,1984,1225000000
Kansas,1984,1225000000
Virginia,1984,1967000000
West Virginia,1984,369000000
North Carolina,1984,1649000000
Kentucky,1984,2106000000
Tennessee,1984,2152000000
South Carolina,1984,541000000
Georgia,1984,1274000000
Florida,1984,1898000000
Alabama,1984,536000000
Mississippi,1984,847000000
Arkansas,1984,808000000
Louisiana,1984,893000000
Oklahoma,1984,1130000000
Texas,1984,3848000000
Montana,1984,341000000
Idaho,1984,2190000000
Wyoming,1984,132000000
Colorado,1984,956000000
New Mexico,1984,1006000000
Arizona,1984,1222000000
Utah,1984,1039000000
Nevada,1984,235000000
Washington,1984,3468000000
Oregon,1984,1338000000
California,1984,15292000000
Alaska,1984,14000000
Hawaii,1984,148000000
Maine,1985,673000000
New Hampshire,1985,364000000
Vermont,1985,2410000000
Massachusetts,1985,596000000
Rhode Island,1985,44000000
Connecticut,1985,620000000
New York,1985,11732000000
New Jersey,1985,487000000
Pennsylvania,1985,9983000000
Delaware,1985,147000000
Maryland,1985,1625000000
Michigan,1985,5568000000
Wisconsin,1985,24700000000
Minnesota,1985,10835000000
Ohio,1985,4870000000
Indiana,1985,2358000000
Illinois,1985,2721000000
Iowa,1985,4058000000
Missouri,1985,2870000000
North Dakota,1985,1120000000
South Dakota,1985,1744000000
Nebraska,1985,1340000000
Kansas,1985,1285000000
Virginia,1985,2102000000
West Virginia,1985,382000000
North Carolina,1985,1748000000
Kentucky,1985,2222000000
Tennessee,1985,2235000000
South Carolina,1985,576000000
Georgia,1985,1300000000
Florida,1985,2038000000
Alabama,1985,547000000
Mississippi,1985,876000000
Arkansas,1985,848000000
Louisiana,1985,911000000
Oklahoma,1985,1183000000
Texas,1985,3968000000
Montana,1985,349000000
Idaho,1985,2421000000
Wyoming,1985,134000000
Colorado,1985,1105000000
New Mexico,1985,1078000000
Arizona,1985,1348000000
Utah,1985,1135000000
Nevada,1985,242000000
Washington,1985,3750000000
Oregon,1985,1438000000
California,1985,16762000000
Alaska,1985,22000000
Hawaii,1985,142000000
Maine,1986,694000000
New Hampshire,1986,373000000
Vermont,1986,2448000000
Massachusetts,1986,559000000
Rhode Island,1986,41000000
Connecticut,1986,600000000
New York,1986,11718000000
New Jersey,1986,479000000
Pennsylvania,1986,10152000000
Delaware,1986,146000000
Maryland,1986,1620000000
Michigan,1986,5404000000
Wisconsin,1986,24500000000
Minnesota,1986,10614000000
Ohio,1986,4940000000
Indiana,1986,2348000000
Illinois,1986,2741000000
Iowa,1986,3879000000
Missouri,1986,2930000000
North Dakota,1986,1074000000
South Dakota,1986,1685000000
Nebraska,1986,1350000000
Kansas,1986,1301000000
Virginia,1986,2151000000
West Virginia,1986,375000000
North Carolina,1986,1695000000
Kentucky,1986,2327000000
Tennessee,1986,2221000000
South Carolina,1986,535000000
Georgia,1986,1265000000
Florida,1986,2157000000
Alabama,1986,529000000
Mississippi,1986,841000000
Arkansas,1986,755000000
Louisiana,1986,887000000
Oklahoma,1986,1190000000
Texas,1986,4045000000
Montana,1986,338000000
Idaho,1986,2389000000
Wyoming,1986,131000000
Colorado,1986,1188000000
New Mexico,1986,1092000000
Arizona,1986,1368000000
Utah,1986,1157000000
Nevada,1986,250000000
Washington,1986,3762000000
Oregon,1986,1471000000
California,1986,17222000000
Alaska,1986,32000000
Hawaii,1986,156000000
Maine,1987,670000000
New Hampshire,1987,323000000
Vermont,1987,2410000000
Massachusetts,1987,506000000
Rhode Island,1987,40000000
Connecticut,1987,567000000
New York,1987,11439000000
New Jersey,1987,436000000
Pennsylvania,1987,10183000000
Delaware,1987,139000000
Maryland,1987,1508000000
Michigan,1987,5248000000
Wisconsin,1987,24800000000
Minnesota,1987,10420000000
Ohio,1987,4840000000
Indiana,1987,2287000000
Illinois,1987,2775000000
Iowa,1987,3910000000
Missouri,1987,2940000000
North Dakota,1987,1087000000
South Dakota,1987,1718000000
Nebraska,1987,1340000000
Kansas,1987,1261000000
Virginia,1987,2019000000
West Virginia,1987,349000000
North Carolina,1987,1555000000
Kentucky,1987,2338000000
Tennessee,1987,2207000000
South Carolina,1987,487000000
Georgia,1987,1160000000
Florida,1987,2209000000
Alabama,1987,502000000
Mississippi,1987,786000000
Arkansas,1987,748000000
Louisiana,1987,881000000
Oklahoma,1987,1170000000
Texas,1987,4277000000
Montana,1987,339000000
Idaho,1987,2375000000
Wyoming,1987,120000000
Colorado,1987,1192000000
New Mexico,1987,979000000
Arizona,1987,1432000000
Utah,1987,1121000000
Nevada,1987,263000000
Washington,1987,3763000000
Oregon,1987,1471000000
California,1987,17928000000
Alaska,1987,35000000
Hawaii,1987,156000000
Maine,1988,644000000
New Hampshire,1988,304000000
Vermont,1988,2389000000
Massachusetts,1988,461000000
Rhode Island,1988,39000000
Connecticut,1988,541000000
New York,1988,11444000000
New Jersey,1988,396000000
Pennsylvania,1988,10204000000
Delaware,1988,135000000
Maryland,1988,1443000000
Michigan,1988,5228000000
Wisconsin,1988,25000000000
Minnesota,1988,10413000000
Ohio,1988,4785000000
Indiana,1988,2234000000
Illinois,1988,2763000000
Iowa,1988,4040000000
Missouri,1988,3000000000
North Dakota,1988,1062000000
South Dakota,1988,1747000000
Nebraska,1988,1364000000
Kansas,1988,1269000000
Virginia,1988,2013000000
West Virginia,1988,301000000
North Carolina,1988,1555000000
Kentucky,1988,2327000000
Tennessee,1988,2137000000
South Carolina,1988,477000000
Georgia,1988,1235000000
Florida,1988,2350000000
Alabama,1988,524000000
Mississippi,1988,794000000
Arkansas,1988,789000000
Louisiana,1988,930000000
Oklahoma,1988,1180000000
Texas,1988,4874000000
Montana,1988,352000000
Idaho,1988,2628000000
Wyoming,1988,125000000
Colorado,1988,1227000000
New Mexico,1988,1099000000
Arizona,1988,1500000000
Utah,1988,1167000000
Nevada,1988,278000000
Washington,1988,3966000000
Oregon,1988,1503000000
California,1988,18607000000
Alaska,1988,31000000
Hawaii,1988,160000000
Maine,1989,609000000
New Hampshire,1989,292000000
Vermont,1989,2337000000
Massachusetts,1989,448000000
Rhode Island,1989,34000000
Connecticut,1989,524000000
New York,1989,11071000000
New Jersey,1989,364000000
Pennsylvania,1989,9998000000
Delaware,1989,128000000
Maryland,1989,1377000000
Michigan,1989,5152000000
Wisconsin,1989,23898000000
Minnesota,1989,10109000000
